Level,Engagement Score,Engagement Time (s),Predicted Time (s),Future Performance
Stopping Vehicle,76.88880717151949,72.28707333165131,112.18099445561968,Good
Stopping Vehicle,37.942541371023076,81.5701778031715,116.37601249298996,Needs Improvement
Stopping Vehicle,47.61578324857005,95.07995385622783,124.1983749434232,Needs Improvement
Starting Vehicle,59.94488941717961,34.27348832319611,55.29580953500916,Needs Improvement
Turning,65.00235133965431,79.52430308270098,115.06978606273415,Needs Improvement
Starting Vehicle,75.55694622394303,39.74660999224769,63.433478052007324,Good
Turning,51.26261950514238,54.79283503246416,84.4432745154445,Needs Improvement
Turning,40.3093995320681,49.802282475597636,74.70792359934582,Needs Improvement
Starting Vehicle,34.60814627401849,54.69702363873343,81.65257399032876,Needs Improvement
Stopping Vehicle,54.065995812700415,54.86022250615697,78.94600936611539,Needs Improvement
Starting Vehicle,83.16558528363214,60.11296649592171,87.05597791606091,Excellent
Starting Vehicle,88.5856145646932,46.61241043820131,71.46812865317717,Excellent
Turning,49.50626101888442,48.46502227307991,69.04746855702753,Needs Improvement
Stopping Vehicle,41.56166790736407,56.048188291113256,91.18547653236442,Needs Improvement
Turning,40.25402079337353,67.8641970314299,95.7871845611623,Needs Improvement
Turning,47.01886973773675,44.79750800270543,79.00402102126257,Needs Improvement
Stopping Vehicle,53.37917882440665,79.73758360366708,103.26596023554306,Needs Improvement
Turning,53.266414455165865,68.8749908530556,88.70715315147503,Needs Improvement
Starting Vehicle,73.07081041476735,53.07926831029315,82.71398448608518,Good
Stopping Vehicle,61.956672831566074,71.48733801520322,101.12110020719348,Needs Improvement
Stopping Vehicle,46.589800375085616,90.70922838945398,130.08400358056178,Needs Improvement
Starting Vehicle,58.39776566134029,57.32678970384988,86.38106542109949,Needs Improvement
Navigating Turns,64.02834067912961,63.05385916065543,106.19984902174994,Needs Improvement
Starting Vehicle,54.76806390031023,57.497824009977684,88.02724321487834,Needs Improvement
Turning,38.98429896977377,73.92545598935294,94.14175290038398,Needs Improvement
Starting Vehicle,45.21509125015179,47.68597024528771,60.44800212981827,Needs Improvement
Stopping Vehicle,31.176456318065362,79.54018248122532,107.35115141567366,Needs Improvement
Turning,76.74439852327744,51.32406242517549,63.374699973111994,Good
Starting Vehicle,47.914676401788846,34.13340152215345,48.897171383345274,Needs Improvement
Starting Vehicle,68.00063919547449,50.57495075893844,79.86056575455729,Needs Improvement
Starting Vehicle,55.893116749738425,48.10129060123409,79.4347742329199,Needs Improvement
Starting Vehicle,74.95206820831632,43.93129664262024,70.1456758703151,Good
Turning,58.359286363159086,50.34853032612204,67.42800566727817,Needs Improvement
Starting Vehicle,89.2018242945117,31.86929079484256,45.98633310645919,Excellent
Turning,45.6394440622544,63.34908929565679,78.07031391332637,Needs Improvement
Starting Vehicle,68.32615780500365,38.12245381743835,49.08287218115333,Needs Improvement
Stopping Vehicle,43.27768242205919,85.04516235813213,119.71623734833022,Needs Improvement
Stopping Vehicle,76.75075165414908,85.35941293967639,111.74223176322471,Good
Turning,79.81304373759413,46.572815397383074,77.3067846269973,Good
Navigating Turns,40.906540333400464,100.09898974580311,139.6299554391778,Needs Improvement
Starting Vehicle,55.718297468809084,38.16590348446457,64.78364032860772,Needs Improvement
Starting Vehicle,74.8803182380459,30.331174521251032,52.7503824933574,Good
Stopping Vehicle,42.0057388453834,61.67085524199719,105.34627197953645,Needs Improvement
Starting Vehicle,55.980576337015236,52.450459566765865,63.15282087089086,Needs Improvement
Starting Vehicle,71.48691433980704,50.96066601777004,60.98249034182801,Good
Navigating Turns,71.95912944724415,62.112336215719886,101.75277908438655,Good
Turning,59.705738025339365,53.54506947283376,78.03497710900149,Needs Improvement
Turning,92.42701417395362,58.23458684543457,85.08443093930325,Excellent
Turning,40.13403531483968,66.03581222622142,99.22391523399988,Needs Improvement
Stopping Vehicle,65.97669465943927,72.71757201289634,103.8223428686266,Needs Improvement
Starting Vehicle,66.0343281638533,55.58745314696037,86.48586564855613,Needs Improvement
Starting Vehicle,70.36403241841958,41.24082430743702,67.2431215034745,Good
Stopping Vehicle,75.91438517327893,46.88002881852245,63.812557321229875,Good
Stopping Vehicle,70.81684920222361,85.83719075976379,114.83448944126549,Good
Stopping Vehicle,57.59648329192953,47.70440087654387,80.14192629065286,Needs Improvement
Starting Vehicle,64.15134509726083,36.68102328446778,54.492126194392384,Needs Improvement
Stopping Vehicle,45.96663922034058,58.23246040997289,75.16608667689908,Needs Improvement
Starting Vehicle,93.25008408464444,36.94451751071498,45.77182963873924,Excellent
Stopping Vehicle,72.57507006818562,71.17433723634048,103.98803544227867,Good
Navigating Turns,78.59653395262177,106.88191044660744,152.30037508508934,Good
Starting Vehicle,100.0,46.58452368471112,65.61416947065656,Excellent
Navigating Turns,47.58339686068487,105.66054231274255,147.6792665368526,Needs Improvement
Turning,56.85592918097912,76.888382062014,110.07150809930839,Needs Improvement
Starting Vehicle,77.6111555112621,43.63729583128238,64.31054324884103,Good
Turning,45.339257047606175,69.12342066068433,93.76472777352558,Needs Improvement
Starting Vehicle,89.96902544590104,44.234178203048046,55.82569267951259,Excellent
Turning,73.27022835441235,59.62357289104156,73.35757611887641,Good
Starting Vehicle,100.0,60.90196678691082,69.32312064866824,Excellent
Stopping Vehicle,75.58091348593013,49.50303018995025,87.3445655370774,Good
Navigating Turns,56.1354384064814,108.05210116118431,144.96092419241697,Needs Improvement
Starting Vehicle,58.70247513699026,54.63971418647571,77.00006491383746,Needs Improvement
Stopping Vehicle,54.37948695947613,79.15697860354585,104.68617514186546,Needs Improvement
Stopping Vehicle,35.363098109400866,67.28722945984619,88.86005809586328,Needs Improvement
Navigating Turns,80.78705822886772,87.65229220461933,132.89880625900395,Excellent
Starting Vehicle,84.28530121841754,32.17213561874784,60.78634876779573,Excellent
Starting Vehicle,73.72581315784622,42.462952911151476,61.454219084857684,Good
Turning,31.88986328119611,68.13625131497233,97.04876638536638,Needs Improvement
Turning,85.81584231756759,66.25719932893676,85.43856476307026,Excellent
Starting Vehicle,75.73272205340113,42.93977782887204,63.02437175080341,Good
Starting Vehicle,32.36977805941456,41.82365508562084,59.398191377244316,Needs Improvement
Starting Vehicle,64.59003674930635,33.640353251399326,49.8585090201859,Needs Improvement
Starting Vehicle,86.72782458778585,48.43872448577548,56.83848311801622,Excellent
Turning,51.1391926902996,67.61149016460709,91.5735373693383,Needs Improvement
Starting Vehicle,46.427656590771555,43.28739317221888,62.30116412669787,Needs Improvement
Turning,78.17952886870592,66.26023858291732,85.02199467893355,Good
Turning,31.699374923493444,65.11662260595006,82.73444121564638,Needs Improvement
Turning,75.03305797163537,70.01111025122665,101.20592953713319,Good
Turning,28.63326847571613,62.53100533079825,91.256983340625,Needs Improvement
Stopping Vehicle,67.11067275468952,93.0381851616994,127.43166072008661,Needs Improvement
Starting Vehicle,26.6602816855899,40.54640859601556,65.29642334871838,Needs Improvement
Starting Vehicle,45.29703389423199,34.01343676274376,58.27623147618912,Needs Improvement
Turning,64.33390740352554,62.947913551107526,88.8428343016277,Needs Improvement
Starting Vehicle,79.84983823849248,59.50776102978988,75.97998658384002,Good
Turning,75.3721611322627,43.421808165559796,74.92373954559623,Good
Turning,43.596493525083275,63.72146006147889,95.01453373144999,Good
Starting Vehicle,48.34230882245735,48.83653143218001,63.57512584425215,Needs Improvement
Starting Vehicle,46.61737080455246,40.07463485015303,64.2999893279975,Needs Improvement
Stopping Vehicle,74.41845593552947,77.06349960780585,99.10328004988963,Good
Navigating Turns,66.96973663215995,71.18868935331838,96.95801320983001,Needs Improvement
Turning,57.9471415310742,54.62320231578278,72.82698908314937,Needs Improvement
Navigating Turns,79.32479988180611,114.28697262811471,148.77376434676714,Excellent
Turning,78.5673907663784,61.10090637101817,84.17468738797692,Good
Turning,68.52277230100786,56.45155060349795,84.82528621757346,Needs Improvement
Starting Vehicle,85.59977036018032,38.43468626250014,58.181935888971594,Excellent
Stopping Vehicle,14.057732770480033,81.53747099303098,116.75287383317193,Needs Improvement
Navigating Turns,57.809905046704145,69.79994396787743,108.85997194660142,Needs Improvement
Starting Vehicle,47.65233885519557,40.90832658303756,56.76649798293193,Needs Improvement
Starting Vehicle,90.45187278935586,49.527485951909696,76.12471738438349,Excellent
Starting Vehicle,85.99407342980521,47.19775440990833,62.31236976095153,Excellent
Starting Vehicle,100.0,43.20428130118598,60.39547616935646,Excellent
Starting Vehicle,99.654350292931,38.193985745308765,53.80948598020144,Excellent
Turning,44.94078833746942,51.880397578016684,69.09818339374216,Needs Improvement
Turning,57.56561983714181,54.93405848535488,79.08330770110739,Needs Improvement
Starting Vehicle,71.58741853131158,54.470330892383274,64.11434195207714,Good
Turning,29.608762577943477,52.95404043006371,72.15037649790469,Needs Improvement
Starting Vehicle,61.45010586353735,40.64794987265551,64.96544767182782,Excellent
Starting Vehicle,85.68984853925653,32.821640892875166,41.780517633328735,Excellent
Stopping Vehicle,43.25449850193464,77.48423932125691,113.48787488773104,Needs Improvement
Stopping Vehicle,64.81991578805902,67.47955519453387,104.89556151540023,Needs Improvement
Navigating Turns,73.66168338047304,88.2372283179907,133.6289184356748,Good
Stopping Vehicle,59.69450342321856,84.5829184865261,122.62986254001825,Needs Improvement
Starting Vehicle,65.74695386108712,52.59658253002496,71.92567038755924,Needs Improvement
Starting Vehicle,71.44851943216032,54.84914347856381,71.31734525061638,Good
Starting Vehicle,43.64290748514802,49.09793814721366,66.29023258999082,Needs Improvement
Turning,67.68725884323324,74.58176723174704,107.37706766939142,Needs Improvement
Navigating Turns,71.1257252284851,108.97557963187771,139.20324869304164,Good
Navigating Turns,74.72033449330998,57.58983468475349,90.76690686976495,Good
Turning,69.70557329646375,64.72205198362526,89.1110005211566,Needs Improvement
Navigating Turns,47.18102088949648,116.24341078250333,149.4077764540947,Needs Improvement
Stopping Vehicle,58.151719605503295,65.93508159471601,99.62730957241466,Needs Improvement
Stopping Vehicle,34.74278893804686,79.99033887047746,121.67887804076167,Needs Improvement
Starting Vehicle,98.6624085815626,26.996622889112416,50.273861677862975,Excellent
Starting Vehicle,66.03769542620357,58.82959400623512,84.85115667985738,Needs Improvement
Stopping Vehicle,34.91745087188844,76.76736125067801,110.53383512451863,Needs Improvement
Turning,48.18459256259089,46.554926214418956,69.42241011295944,Needs Improvement
Turning,50.35259406808569,78.98855060820722,114.44894449321708,Needs Improvement
Starting Vehicle,72.9555121638522,40.568405266233455,67.5639925644245,Good
Turning,93.7619309684759,56.42262858920225,91.23706681639943,Excellent
Starting Vehicle,60.98816627181066,40.430691625380504,56.430186297972774,Needs Improvement
Stopping Vehicle,73.11583505047122,64.46250515290656,83.00194249853857,Good
Starting Vehicle,71.33596291287704,46.79154943070836,69.76146408737692,Good
Starting Vehicle,61.22436334048497,42.401576568078525,66.06104921513378,Needs Improvement
Turning,33.527894019412486,63.10221674292937,87.080669623454,Good
Stopping Vehicle,66.91992509654838,80.2361918219563,117.89267446215516,Needs Improvement
Turning,49.6917456956381,61.15376275705824,96.2681550860207,Needs Improvement
Navigating Turns,67.92365315259487,93.83660468901884,138.75086976333347,Needs Improvement
Turning,83.30547770255785,52.87097413981411,68.68000596841448,Excellent
Turning,32.530691818181765,70.25787017657271,98.25538323198818,Needs Improvement
Navigating Turns,35.94891964626498,75.10752507552054,109.30600560660976,Needs Improvement
Starting Vehicle,66.34653311806059,58.68085736801587,74.57154485279274,Needs Improvement
Starting Vehicle,54.59147187171944,40.17419785567022,55.28031551000663,Needs Improvement
Turning,66.45421912074156,73.40281793077898,97.50129751897542,Needs Improvement
Starting Vehicle,47.1180134995746,46.47670111083424,68.5344363432612,Needs Improvement
Starting Vehicle,96.52171186471362,52.75938213952082,74.2934944861082,Excellent
Navigating Turns,75.0136250084332,62.383423397938934,113.86779798549608,Good
Stopping Vehicle,64.79535534171606,56.34578369083912,83.36835553200001,Needs Improvement
Starting Vehicle,90.28767056874676,36.30647127710429,50.363451752701664,Excellent
Stopping Vehicle,36.37533174304913,79.25792725660625,112.60060550684376,Needs Improvement
Stopping Vehicle,41.022851459149784,64.28984033717819,94.62250593267284,Needs Improvement
Stopping Vehicle,78.44878929530793,73.35030101417568,103.54500870511129,Good
Stopping Vehicle,33.90109020538398,63.961049151609025,87.28613380292079,Needs Improvement
Turning,84.54132861409356,61.34550213229301,92.8798016155401,Excellent
Stopping Vehicle,47.650489381311544,102.49613302811571,122.79545689359355,Good
Stopping Vehicle,35.664541501718375,68.47536800706494,106.17637827492132,Needs Improvement
Stopping Vehicle,72.98898029616156,77.4965892284196,107.66193298468666,Good
Turning,63.189648359754926,44.7340235043072,80.36859709846178,Needs Improvement
Navigating Turns,40.04068361210538,105.17088689899958,138.29108133600334,Good
Navigating Turns,68.58103948908003,97.39950174006857,145.93633727147036,Needs Improvement
Starting Vehicle,34.64425542247157,57.782150193993964,77.56261852427323,Needs Improvement
Turning,69.94069367125397,79.37000564236301,98.43920035620155,Needs Improvement
Starting Vehicle,90.61522734285177,53.507100768141015,71.05217055953703,Excellent
Starting Vehicle,39.668025602613056,31.998584417680075,61.62442879806002,Needs Improvement
Starting Vehicle,94.66524838007759,49.722593693477016,63.099188093310644,Excellent
Stopping Vehicle,60.353418484758656,65.18203131563229,97.5522495073646,Needs Improvement
Starting Vehicle,26.79864854500567,45.7503298296021,70.76659261980943,Needs Improvement
Starting Vehicle,77.65916123532003,42.58409112085199,65.44909580935244,Good
Turning,75.93392347884843,71.02158725216474,95.63632388285131,Good
Turning,79.95359741550607,62.489941253971594,93.23062822665119,Good
Starting Vehicle,78.5517321962983,32.08485151690901,49.95673452275083,Good
Stopping Vehicle,49.55887347243566,59.39551225847914,82.2568593253773,Needs Improvement
Stopping Vehicle,62.367659114649555,74.8958067544004,112.08991226563991,Needs Improvement
Turning,50.57546169542486,38.15028892382146,64.76224582376126,Needs Improvement
Turning,68.13617583342626,38.097242380486286,61.32717355168648,Needs Improvement
Starting Vehicle,75.10095471703809,48.53546262127649,70.9932776494231,Good
Stopping Vehicle,66.11540617076365,77.5561965295011,104.471953434489,Needs Improvement
Navigating Turns,67.06497568532629,84.60913624991512,111.04289322205281,Needs Improvement
Stopping Vehicle,70.4757672235791,74.43284888417178,95.87789461012818,Good
Turning,36.01675522278925,60.84772912975127,93.99061516794826,Needs Improvement
Turning,71.4950507999976,78.54965914825969,108.88091032527863,Good
Navigating Turns,49.11457533684941,94.97986941018699,125.08861483749965,Needs Improvement
Stopping Vehicle,81.98245763257567,59.84255188358283,91.26836920535503,Excellent
Navigating Turns,47.401144152660414,92.61241187484495,118.19792336621683,Needs Improvement
Starting Vehicle,47.20386395746746,42.02862272732262,57.811419298826586,Needs Improvement
Starting Vehicle,96.10945663519,47.80039854798134,79.58371209720043,Excellent
Navigating Turns,42.83034901503045,70.77925112097284,96.81889264174626,Needs Improvement
Starting Vehicle,55.47365329859865,34.00218130360178,51.47366228489986,Needs Improvement
Turning,32.08021966434239,70.44214064705753,93.72612938187656,Needs Improvement
Turning,80.32298985270381,63.498683940782044,82.8336233637142,Excellent
Starting Vehicle,66.08060418583064,41.78786844833635,62.74351713495695,Needs Improvement
Starting Vehicle,71.31196963074056,57.468793539494726,83.66111688221154,Good
Starting Vehicle,61.64002047309876,62.192297625596,94.61895556720997,Needs Improvement
Stopping Vehicle,52.43220294844489,65.68731250091301,105.42116353547027,Needs Improvement
Stopping Vehicle,70.20306151107411,96.3215550774898,129.0214960174758,Good
Starting Vehicle,84.10501183195063,43.426700122993076,58.086651704401774,Excellent
Stopping Vehicle,75.79167062421008,80.95344923378033,109.37932143331636,Needs Improvement
Stopping Vehicle,36.50921136251296,56.42404885770638,82.45374334175419,Excellent
Navigating Turns,68.88122292859471,110.47435929354823,160.11091750724216,Needs Improvement
Starting Vehicle,65.51095125314448,42.67916373683764,66.08706875441527,Needs Improvement
Stopping Vehicle,39.430642107506614,64.47749566534375,89.14406407241086,Needs Improvement
Navigating Turns,50.309341867056204,68.09231783789167,98.48534721864966,Needs Improvement
Navigating Turns,52.6797225787761,103.98223498337262,144.8390030699169,Needs Improvement
Stopping Vehicle,50.31921614100181,53.77915200636875,83.3797910599746,Needs Improvement
Navigating Turns,36.9838423890862,78.00842738266059,116.77176980689384,Needs Improvement
Starting Vehicle,62.47104668697757,51.62205214123821,65.32963342878254,Needs Improvement
Turning,77.5837362289425,79.22628626495242,109.79666861195973,Good
Turning,52.328478961321096,51.79554626259151,83.03776227696045,Needs Improvement
Navigating Turns,63.13809641201238,113.98996126409908,146.6633354091895,Needs Improvement
Stopping Vehicle,58.708924186818635,59.14649394180217,89.76703283427024,Needs Improvement
Turning,85.7053890264323,54.057174096104404,68.29940424309272,Good
Starting Vehicle,74.71975951049775,51.420613649836135,63.77289099203386,Good
Navigating Turns,45.0461168724502,103.35502673654727,142.4513348909958,Needs Improvement
